PH_NUMBER,AREA_NAME,DISTRICT_NAME,ZONE_NAME,WARD_NAME,STAKE_NAME,ENGLISH_UNIT_NAME,REPORT_REQUIRED,ENGLISH_REQUIRED,GEOG_AREAS
0972576641,113,,JIAYI,,,,0,0,
0972263533,130,,JIAYI,,,,0,0,
0975087308,131,,JIAYI,,,,0,0,
0972377671,133,,JIAYI,,,,0,0,
0972576305,134,,JIAYI,,,,0,0,
0972263537,151,,JIAYI,,,,0,0,
0972263536,152,,JIAYI,,,,0,0,
0972263526,171,,TAIZHONG_SOUTH,,,,0,0,
0972263547,172,,TAINAN,,,,0,0,
0972908863,211,,TAINAN,,,,0,0,
0972263559,212,,TAINAN,,,,0,0,
0972263542,213,,TAINAN,,,,0,0,
0972263541,230,,TAINAN,,,,0,0,
0972263545,250,,TAINAN,,,,0,0,
0972987336,251,,TAINAN,,,,0,0,
0975095021,252,,TAINAN,,,,0,0,
0975081076,260,,TAINAN,,,,0,0,
0972377615,261,,TAINAN,,,,0,0,
0972263525,262,,TAINAN,,,,0,0,
0972263550,263,,TAINAN,,,,0,0,
0975135263,328,,TAIZHONG_EAST,,,,0,0,
0975865851,330,,TAIZHONG_EAST,,,,0,0,
0972987211,331,,TAIZHONG_WEST,,,,0,0,
0972987266,332,,TAIZHONG_WEST,,,,0,0,
0975165027,333,,TAIZHONG_EAST,,,,0,0,
0972263546,334,,TAIZHONG_EAST,,,,0,0,
0972263503,335,,TAIZHONG_WEST,,,,0,0,
0972377670,411,,GAOXIONG_NORTH,,,,0,0,
0972576301,420,,PINGDONG,,,,0,0,
0972377603,432,,TAIZHONG_SOUTH,,,,0,0,
0972377673,433,,TAIZHONG_SOUTH,,,,0,0,
0972263506,434,,TAIZHONG_EAST,,,,0,0,
